Serial Number:20555838 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 13:32:00,22.09,175, , , , , 
2020-03-02 13:33:00,22.22,143, , , , , 
2020-03-02 13:34:00,22.48,138, , , , , 
2020-03-02 13:35:00,22.69,124, , , , , 
2020-03-02 13:36:00,22.91,133, , , , , 
2020-03-02 13:37:00,23.03,140, , , , , 
2020-03-02 13:38:00,23.16,144, , , , , 
2020-03-02 13:39:00,23.25,130, , , , , 
2020-03-02 13:40:00,23.42,6, , , , , 
2020-03-02 13:41:00,24.75,"8,817", , , , , 
2020-03-02 13:42:00,23.38,"4,879", , , , , 
2020-03-02 13:43:00,22.35,"4,721", , , , , 
2020-03-02 13:44:00,21.66,85, , , , , 
2020-03-02 13:45:00,21.75,"21,903", , , , , 
2020-03-02 13:46:00,20.20,"5,268", , , , , 
2020-03-02 13:47:00,19.35,"7,475", , , , , 
2020-03-02 13:48:00,18.70,"1,178", , , , , 
2020-03-02 13:49:00,18.32,"1,804", , , , , 
2020-03-02 13:50:00,18.14,"6,748", , , , , 
2020-03-02 13:51:00,18.02,171, , , , , 
2020-03-02 13:52:00,17.97,"13,481", , , , , 
2020-03-02 13:53:00,17.97,"23,357", , , , , 
2020-03-02 13:54:00,17.84,"1,138", , , , , 
2020-03-02 13:55:00,17.72,"1,919", , , , , 
2020-03-02 13:56:00,17.72,"3,089", , , , , 
2020-03-02 13:57:00,17.67,"3,096", , , , , 
2020-03-02 13:58:00,17.67,"3,092", , , , , 
2020-03-02 13:59:00,17.67,"3,092", , , , , 
2020-03-02 14:00:00,17.54,86, , , , , 
2020-03-02 14:01:00,17.50,86, , , , , 
2020-03-02 14:02:00,17.46,87, , , , , 
2020-03-02 14:03:00,17.46,86, , , , , 
2020-03-02 14:04:00,17.41,86, , , , , 
2020-03-02 14:05:00,17.46,87, , , , , 
2020-03-02 14:06:00,17.37,86, , , , , 
2020-03-02 14:07:00,17.41,87, , , , , 
2020-03-02 14:08:00,17.37,86, , , , , 
2020-03-02 14:09:00,17.33,87, , , , , 
2020-03-02 14:10:00,17.37,87, , , , , 
2020-03-02 14:11:00,17.37,87, , , , , 
2020-03-02 14:12:00,17.33,125, , , , , 
2020-03-02 14:13:00,17.33,125, , , , , 
2020-03-02 14:14:00,17.24,125, , , , , 
2020-03-02 14:15:00,17.33,125, , , , , 
2020-03-02 14:16:00,17.33,125, , , , , 
2020-03-02 14:17:00,17.29,125, , , , , 
2020-03-02 14:18:00,17.29,125, , , , , 
2020-03-02 14:19:00,17.33,125, , , , , 
2020-03-02 14:20:00,17.29,241, , , , , 
2020-03-02 14:21:00,17.24,241, , , , , 
2020-03-02 14:22:00,17.24,241, , , , , 
2020-03-02 14:23:00,17.29,241, , , , , 
2020-03-02 14:24:00,17.24,241, , , , , 
2020-03-02 14:25:00,17.24,241, , , , , 
2020-03-02 14:26:00,17.24,241, , , , , 
2020-03-02 14:27:00,17.20,241, , , , , 
2020-03-02 14:28:00,17.20,241, , , , , 
2020-03-02 14:29:00,17.20,241, , , , , 
2020-03-02 14:30:00,17.16,422, , , , , 
2020-03-02 14:31:00,17.20,380, , , , , 
2020-03-02 14:32:00,17.20,380, , , , , 
2020-03-02 14:33:00,17.16,381, , , , , 
2020-03-02 14:34:00,17.16,381, , , , , 
2020-03-02 14:35:00,17.16,381, , , , , 
2020-03-02 14:36:00,17.11,381, , , , , 
2020-03-02 14:37:00,17.16,380, , , , , 
2020-03-02 14:38:00,17.11,381, , , , , 
2020-03-02 14:39:00,17.07,381, , , , , 
2020-03-02 14:40:00,17.11,575, , , , , 
2020-03-02 14:41:00,17.07,577, , , , , 
2020-03-02 14:42:00,17.11,575, , , , , 
2020-03-02 14:43:00,17.07,578, , , , , 
2020-03-02 14:44:00,17.11,577, , , , , 
2020-03-02 14:45:00,17.07,576, , , , , 
2020-03-02 14:46:00,17.11,579, , , , , 
2020-03-02 14:47:00,17.07,578, , , , , 
2020-03-02 14:48:00,17.11,581, , , , , 
2020-03-02 14:49:00,17.16,579, , , , , 
2020-03-02 14:50:00,17.11,689, , , , , 
2020-03-02 14:51:00,17.11,688, , , , , 
2020-03-02 14:52:00,17.07,688, , , , , 
2020-03-02 14:53:00,17.11,689, , , , , 
2020-03-02 14:54:00,17.11,688, , , , , 
2020-03-02 14:55:00,17.11,689, , , , , 
2020-03-02 14:56:00,17.03,689, , , , , 
2020-03-02 14:57:00,17.07,689, , , , , 
2020-03-02 14:58:00,17.11,690, , , , , 
2020-03-02 14:59:00,17.11,688, , , , , 
2020-03-02 15:00:00,17.11,689, , , , , 
2020-03-02 15:01:00,17.11,689, , , , , 
2020-03-02 15:02:00,17.11,690, , , , , 
2020-03-02 15:03:00,17.16,690, , , , , 
2020-03-02 15:04:00,17.07,691, , , , , 
2020-03-02 15:05:00,17.07,690, , , , , 
2020-03-02 15:06:00,17.07,687, , , , , 
2020-03-02 15:07:00,17.07,691, , , , , 
2020-03-02 15:08:00,17.07,688, , , , , 
2020-03-02 15:09:00,17.07,688, , , , , 
2020-03-02 15:10:00,17.07,690, , , , , 
2020-03-02 15:11:00,17.11,879, , , , , 
2020-03-02 15:12:00,17.11,880, , , , , 
2020-03-02 15:13:00,17.16,881, , , , , 
2020-03-02 15:14:00,17.11,886, , , , , 
2020-03-02 15:15:00,17.11,884, , , , , 
2020-03-02 15:16:00,17.11,886, , , , , 
2020-03-02 15:17:00,17.11,886, , , , , 
2020-03-02 15:18:00,17.11,886, , , , , 
2020-03-02 15:19:00,17.11,889, , , , , 
2020-03-02 15:20:00,17.11,887, , , , , 
2020-03-02 15:21:00,17.16,886, , , , , 
2020-03-02 15:22:00,17.11,884, , , , , 
2020-03-02 15:23:00,17.07,884, , , , , 
2020-03-02 15:24:00,17.11,"1,160", , , , , 
2020-03-02 15:25:00,17.11,"1,162", , , , , 
2020-03-02 15:26:00,17.11,"1,167", , , , , 
2020-03-02 15:27:00,17.16,"1,163", , , , , 
2020-03-02 15:28:00,17.16,"1,161", , , , , 
2020-03-02 15:29:00,17.16,"1,163", , , , , 
2020-03-02 15:30:00,17.16,"1,160", , , , , 
2020-03-02 15:31:00,17.16,"1,281", , , , , 
2020-03-02 15:32:00,17.11,"1,279", , , , , 
2020-03-02 15:33:00,17.16,"1,283", , , , , 
2020-03-02 15:34:00,17.16,"1,279", , , , , 
2020-03-02 15:35:00,17.11,"1,282", , , , , 
2020-03-02 15:36:00,17.16,"1,279", , , , , 
2020-03-02 15:37:00,17.11,"1,283", , , , , 
2020-03-02 15:38:00,17.11,"1,280", , , , , 
2020-03-02 15:39:00,17.11,"1,280", , , , , 
2020-03-02 15:40:00,17.16,"1,284", , , , , 
2020-03-02 15:41:00,17.16,"1,278", , , , , 
2020-03-02 15:42:00,17.16,"1,411", , , , , 
2020-03-02 15:43:00,17.20,"1,407", , , , , 
2020-03-02 15:44:00,17.16,"1,409", , , , , 
2020-03-02 15:45:00,17.16,"1,409", , , , , 
2020-03-02 15:46:00,17.16,"1,407", , , , , 
2020-03-02 15:47:00,17.11,"1,412", , , , , 
2020-03-02 15:48:00,17.11,"1,411", , , , , 
2020-03-02 15:49:00,17.11,"1,409", , , , , 
2020-03-02 15:50:00,17.11,"1,681", , , , , 
2020-03-02 15:51:00,17.11,"1,682", , , , , 
2020-03-02 15:52:00,17.11,"1,683", , , , , 
2020-03-02 15:53:00,17.11,"1,685", , , , , 
2020-03-02 15:54:00,17.11,"1,684", , , , , 
2020-03-02 15:55:00,17.16,"1,683", , , , , 
2020-03-02 15:56:00,17.20,"1,684", , , , , 
2020-03-02 15:57:00,17.16,"1,684", , , , , 
2020-03-02 15:58:00,17.16,"1,683", , , , , 
2020-03-02 15:59:00,17.16,"1,684", , , , , 
2020-03-02 16:00:00,17.16,"1,683", , , , , 
2020-03-02 16:01:00,17.16,"1,686", , , , , 
2020-03-02 16:02:00,17.11,"1,688", , , , , 
2020-03-02 16:03:00,17.11,"1,685", , , , , 
2020-03-02 16:04:00,17.11,"1,686", , , , , 
2020-03-02 16:05:00,17.11,"1,685", , , , , 
2020-03-02 16:06:00,17.16,"1,683", , , , , 
2020-03-02 16:07:00,17.16,"1,685", , , , , 
2020-03-02 16:08:00,17.16,"1,686", , , , , 
2020-03-02 16:09:00,17.20,"1,685", , , , , 
2020-03-02 16:10:00,17.20,"1,956", , , , , 
2020-03-02 16:11:00,17.16,"1,958", , , , , 
2020-03-02 16:12:00,17.20,"1,956", , , , , 
2020-03-02 16:13:00,17.24,"1,956", , , , , 
2020-03-02 16:14:00,17.20,"1,956", , , , , 
2020-03-02 16:15:00,17.20,"1,951", , , , , 
2020-03-02 16:16:00,17.16,"1,956", , , , , 
2020-03-02 16:17:00,17.20,"1,952", , , , , 
